Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDZ33,12.436,LF,0.053896302,Fruits and Vegetables,262.3216,OUT017,2007,,Tier 2,Supermarket Type1,1933.1575
FDJ24,,Low fat,0.058607283,Seafood,45.3237,OUT035,2004,Small,Tier 2,Supermarket Type1,908.9968
NCG12,5.371,LF,0,Breakfast,218.1625,OUT013,1987,High,Tier 3,Supermarket Type1,3288.7665
NCG20,15.793,Regular,0.045522456,Breads,133.1464,OUT017,2007,,Tier 2,Supermarket Type1,784.2055
FDD18,8.189,Regular,0.136188752,Others,125.2189,OUT013,1987,High,Tier 3,Supermarket Type1,719.6875
NCL17,15.206,regular,0.114347553,Starchy Foods,144.3819,OUT013,1987,High,Tier 3,Supermarket Type1,2885.6667
FDQ15,13.242,Low fat,0.074835314,Starchy Foods,33.7751,OUT010,1998,,Tier 3,Grocery Store,71.3836
FDF37,14.779,low fat,0.252312468,Fruits and Vegetables,219.438,OUT019,1985,Small,Tier 1,Grocery Store,368.887
NCP45,,Low fat,0.038881803,Snack Foods,264.815,OUT049,1999,Medium,Tier 1,Supermarket Type1,4678.425
DRF24,,regular,0.049473509,Snack Foods,51.2564,OUT049,1999,Medium,Tier 1,Supermarket Type1,351.883
FDN38,20.359,regular,0,Others,172.6507,OUT027,1985,Medium,Tier 3,Supermarket Type3,2579.8594
FDY39,,Regular,0.066456605,Health and Hygiene,126.9993,OUT045,2002,,Tier 2,Supermarket Type1,554.5629
NCF38,16.256,Low fat,0,Seafood,51.2281,OUT046,1997,Small,Tier 1,Supermarket Type1,233.1408
DRJ39,7.635,low fat,0,Fruits and Vegetables,76.5897,OUT049,1999,Medium,Tier 1,Supermarket Type1,1196.3558
FDG28,7.558,Low Fat,0.185811047,Meat,70.5447,OUT018,2009,Medium,Tier 3,Supermarket Type2,307.49
DRI51,17.323,LF,0.298095687,Baking Goods,160.297,OUT027,1985,,Tier 3,Supermarket Type3,989.7393
DRH25,8.153,LF,0.058175927,Frozen Foods,261.6384,OUT046,1997,Small,Tier 1,Supermarket Type1,1919.7453
FDU43,8.011,Regular,0.230405659,Breakfast,133.6116,OUT019,1985,Small,Tier 1,Grocery Store,742.5077
NCJ05,10.99,Regular,0,Hard Drinks,148.5184,OUT046,1997,,Tier 1,Supermarket Type1,1727.4493
DRJ09,10.634,full fat,0.170379316,Baking Goods,100.3517,OUT018,2009,Medium,Tier 3,Supermarket Type2,1173.1628
FDA20,8.611,reg,0,Household,87.1375,OUT013,1987,High,Tier 3,Supermarket Type1,1496.0673
NCD44,,Regular,0.014253943,Health and Hygiene,138.4812,OUT010,1998,,Tier 3,Grocery Store,770.1207
FDE43,16.979,low fat,0.302376951,Frozen Foods,47.8565,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCE31,13.952,Low Fat,0.24167775,Fruits and Vegetables,132.498,OUT045,2002,,Tier 2,Supermarket Type1,2493.7622
DRD59,14.064,low fat,0.325397707,Canned,119.7149,OUT017,2007,,Tier 2,Supermarket Type1,742.0411
NCA14,10.245,Regular,0.141953486,Hard Drinks,222.1834,OUT049,1999,Medium,Tier 1,Supermarket Type1,3741.6979
NCM19,12.311,low fat,0.12654939,Meat,101.8359,OUT010,1998,,Tier 3,Grocery Store,117.3091
NCE03,15.299,Low Fat,0,Baking Goods,94.684,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCM43,7.843,Regular,0,Health and Hygiene,116.6464,OUT046,1997,Small,Tier 1,Supermarket Type1,362.837
NCE31,12.449,regular,0.30440898,Health and Hygiene,47.3603,OUT018,2009,Medium,Tier 3,Supermarket Type2,603.6525
DRI50,10.261,LF,0.167943226,Others,124.7822,OUT035,2004,Small,Tier 2,Supermarket Type1,1626.6292
FDG31,15.424,Regular,0.073674916,Snack Foods,221.3515,OUT018,2009,Medium,Tier 3,Supermarket Type2,3319.8647
NCM26,16.143,low fat,0.175181453,Breads,50.619,OUT027,1985,Medium,Tier 3,Supermarket Type3,1020.3979
NCB18,6.039,regular,0.301176721,Frozen Foods,73.0927,OUT046,1997,Small,Tier 1,Supermarket Type1,371.6548
NCK58,7.498,Low fat,0.156279381,Soft Drinks,225.6185,OUT010,1998,,Tier 3,Grocery Store,903.1143
FDA40,12.133,regular,0.166414639,Hard Drinks,183.0146,OUT017,2007,,Tier 2,Supermarket Type1,1549.0477
NCE26,12.458,Regular,0,Starchy Foods,109.585,OUT027,1985,Medium,Tier 3,Supermarket Type3,1799.5293
DRF13,16.549,Low fat,0.005420154,Canned,80.1532,OUT045,2002,,Tier 2,Supermarket Type1,1011.6599
NCE26,21.247,Regular,0.170811466,Soft Drinks,213.7144,OUT045,2002,,Tier 2,Supermarket Type1,3110.7161
NCC48,9.017,Regular,0.24193015,Breakfast,234.7204,OUT019,1985,Small,Tier 1,Grocery Store,1313.8722
FDB02,18.734,Low fat,0.281153572,Seafood,260.9655,OUT018,2009,Medium,Tier 3,Supermarket Type2,2021.5181
FDV37,18.67,low fat,0,Canned,261.9699,OUT035,2004,Small,Tier 2,Supermarket Type1,5459.3718
NCF07,13.168,low fat,0.27930633,Meat,53.7914,OUT049,1999,Medium,Tier 1,Supermarket Type1,393.5922
NCJ18,18.558,low fat,0,Snack Foods,129.2722,OUT019,1985,Small,Tier 1,Grocery Store,231.2338
FDB15,11.428,reg,0.004212845,Seafood,32.7926,OUT017,2007,,Tier 2,Supermarket Type1,700.3218
FDH22,17.462,low fat,0.291112084,Baking Goods,31.7218,OUT049,1999,Medium,Tier 1,Supermarket Type1,284.3813
FDS55,,reg,0,Frozen Foods,51.0305,OUT013,1987,,Tier 3,Supermarket Type1,1061.9301
NCA53,,low fat,0.004271351,Baking Goods,266.4608,OUT049,1999,Medium,Tier 1,Supermarket Type1,3749.3541
DRC44,,Low fat,0,Others,177.4614,OUT010,1998,,Tier 3,Grocery Store,395.2574
NCM52,17.9,Regular,0,Breads,239.065,OUT018,2009,Medium,Tier 3,Supermarket Type2,4013.3608
FDP57,18.421,Regular,0.279665448,Snack Foods,260.4951,OUT013,1987,High,Tier 3,Supermarket Type1,4625.6746
FDU17,,Regular,0.116246256,Others,53.2753,OUT046,1997,Small,Tier 1,Supermarket Type1,604.1952
NCH12,,Regular,0.204819315,Others,44.0085,OUT010,1998,,Tier 3,Grocery Store,160.7247
FDA09,10.785,Regular,0.302294898,Fruits and Vegetables,225.263,OUT045,2002,,Tier 2,Supermarket Type1,1279.284
DRJ48,,Low fat,0.047109405,Soft Drinks,141.3347,OUT013,1987,High,Tier 3,Supermarket Type1,955.4472
NCH16,17.6,Regular,0,Health and Hygiene,120.0693,OUT018,2009,Medium,Tier 3,Supermarket Type2,2574.9571
FDV14,11.396,Low fat,0.240241552,Starchy Foods,43.9077,OUT045,2002,,Tier 2,Supermarket Type1,336.889
DRF29,6.068,regular,0.082074178,Frozen Foods,183.4647,OUT027,1985,Medium,Tier 3,Supermarket Type3,1778.8552
DRD38,,Regular,0,Fruits and Vegetables,194.8898,OUT013,1987,High,Tier 3,Supermarket Type1,791.0699
FDQ23,6.889,reg,0,Dairy,112.4416,OUT046,1997,Small,Tier 1,Supermarket Type1,1638.094
FDS23,7.956,regular,0.152503083,Baking Goods,229.7707,OUT017,2007,,Tier 2,Supermarket Type1,3926.0916
FDT56,11.641,LF,0.121861977,Breakfast,71.098,OUT018,2009,Medium,Tier 3,Supermarket Type2,403.4128
FDW59,19.867,Regular,0.246306032,Soft Drinks,136.5523,OUT046,1997,Small,Tier 1,Supermarket Type1,1332.5243
DRB18,11.732,Regular,0.014383491,Soft Drinks,187.3988,OUT019,1985,Small,Tier 1,Grocery Store,552.5342
NCP25,7.516,Regular,0.157611978,Baking Goods,98.9035,OUT035,2004,Small,Tier 2,Supermarket Type1,395.2048
FDE22,8.017,Regular,0,Breakfast,199.6533,OUT018,2009,Medium,Tier 3,Supermarket Type2,1167.7829
FDM04,,Regular,0,Health and Hygiene,207.6382,OUT018,2009,Medium,Tier 3,Supermarket Type2,2870.6401
FDP19,5.885,reg,0,Breads,32.394,OUT045,2002,,Tier 2,Supermarket Type1,597.0701
FDK45,15.697,Low fat,0.269157079,Fruits and Vegetables,127.2892,OUT018,2009,Medium,Tier 3,Supermarket Type2,765.903
NCJ21,19.355,low fat,0.095150618,Fruits and Vegetables,58.4264,OUT049,1999,Medium,Tier 1,Supermarket Type1,44161.4467
FDX32,16.469,Low Fat,0.019178838,Household,230.2693,OUT049,1999,Medium,Tier 1,Supermarket Type1,1561.5407
FDZ56,7.6,Regular,0,Soft Drinks,31.9061,OUT013,1987,High,Tier 3,Supermarket Type1,179.6046
FDG12,15.609,Regular,0.017130966,Breads,137.6888,OUT049,1999,Medium,Tier 1,Supermarket Type1,2822.4883
DRJ03,5.192,reg,0,Health and Hygiene,214.8759,OUT017,2007,,Tier 2,Supermarket Type1,3746.1896
FDS16,,low fat,0.016723587,Dairy,155.0047,OUT049,1999,Medium,Tier 1,Supermarket Type1,2347.9684
DRC21,5.968,Regular,0.163967146,Breakfast,188.1769,OUT018,2009,Medium,Tier 3,Supermarket Type2,4101.8339
FDG09,14.989,Regular,0.143996085,Frozen Foods,164.5455,OUT013,1987,High,Tier 3,Supermarket Type1,3093.6108
NCD39,15.146,regular,0.319848453,Soft Drinks,221.7181,OUT018,2009,Medium,Tier 3,Supermarket Type2,3285.8972
FDS37,18.377,low fat,0,Canned,100.5334,OUT010,1998,,Tier 3,Grocery Store,382.6448
FDI37,20.09,low fat,0,Meat,78.5287,OUT049,1999,Medium,Tier 1,Supermarket Type1,241.2888
FDD20,,regular,0.292172998,Health and Hygiene,180.7693,OUT049,1999,Medium,Tier 1,Supermarket Type1,2862.587
NCG49,6.738,Low fat,0.181570556,Soft Drinks,137.8188,OUT046,1997,Small,Tier 1,Supermarket Type1,2255.6441
DRD47,4.821,Regular,0,Health and Hygiene,145.5099,OUT049,1999,Medium,Tier 1,Supermarket Type1,2113.6251
FDP31,5.318,low fat,0.089092854,Meat,150.4679,OUT045,2002,,Tier 2,Supermarket Type1,1934.373
NCX35,13.57,regular,0.079019952,Baking Goods,51.5347,OUT018,2009,Medium,Tier 3,Supermarket Type2,494.6289
FDW14,19.132,Regular,0.126546346,Others,235.6594,OUT018,2009,Medium,Tier 3,Supermarket Type2,3920.6616
FDP18,21.023,reg,0.009583812,Fruits and Vegetables,75.0245,OUT027,1985,Medium,Tier 3,Supermarket Type3,1627.1697
FDH56,11.179,Low Fat,0.295451902,Household,234.9588,OUT019,1985,Small,Tier 1,Grocery Store,563.794
FDD12,12.664,LF,0,Hard Drinks,43.2706,OUT013,1987,High,Tier 3,Supermarket Type1,453.4208
NCB56,,low fat,0.226813168,Meat,173.3618,OUT018,2009,Medium,Tier 3,Supermarket Type2,3767.9739
DRF49,16.24,LF,0.273112726,Breakfast,118.7608,OUT027,1985,Medium,Tier 3,Supermarket Type3,1513.6605
FDP16,12.091,Low fat,0.207575006,Fruits and Vegetables,76.7754,OUT035,2004,Small,Tier 2,Supermarket Type1,898.1727
NCI35,5.53,LF,0.231478795,Fruits and Vegetables,176.9507,OUT035,2004,Small,Tier 2,Supermarket Type1,2678.5112
FDD23,5.627,reg,0.200540737,Baking Goods,259.6099,OUT013,1987,High,Tier 3,Supermarket Type1,3275.2054
NCH09,,low fat,0.090876823,Fruits and Vegetables,99.1505,OUT019,1985,Small,Tier 1,Grocery Store,544.6928
DRF33,17.4,Low Fat,0.145652493,Others,155.7533,OUT035,2004,Small,Tier 2,Supermarket Type1,2312.7286
FDK54,13.478,Regular,0,Breakfast,240.1231,OUT046,1997,Small,Tier 1,Supermarket Type1,1406.3128
FDJ10,,low fat,0.163493227,Health and Hygiene,197.2921,OUT049,1999,Medium,Tier 1,Supermarket Type1,2230.1697
NCD32,19.794,Low fat,0,Breakfast,179.6088,OUT049,1999,Medium,Tier 1,Supermarket Type1,3942.5084
FDY53,,Regular,0.171524147,Frozen Foods,180.1802,OUT019,1985,Small,Tier 1,Grocery Store,269.3875
FDX12,6.679,Regular,0.134558194,Baking Goods,174.0671,OUT035,2004,Small,Tier 2,Supermarket Type1,3775.9426
FDU60,16.053,Low fat,0.157569427,Breakfast,60.1677,OUT035,2004,Small,Tier 2,Supermarket Type1,567.1051
FDP01,16.992,Regular,0.278700701,Snack Foods,63.8964,OUT035,2004,Small,Tier 2,Supermarket Type1,763.6774
NCI58,7.674,Regular,0.29539829,Hard Drinks,92.8162,OUT019,1985,Small,Tier 1,Grocery Store,421.0769
FDP55,13.899,reg,0.292310207,Dairy,116.3384,OUT017,2007,,Tier 2,Supermarket Type1,2412.3806
FDG10,9.33,Regular,0.188580818,Fruits and Vegetables,245.2326,OUT017,2007,,Tier 2,Supermarket Type1,1800.1827
NCD58,14.634,Regular,0.281561299,Frozen Foods,74.2531,OUT049,1999,Medium,Tier 1,Supermarket Type1,355.2352
FDT50,20.481,Regular,0.108027349,Baking Goods,204.2716,OUT013,1987,High,Tier 3,Supermarket Type1,4478.0417
NCE48,14.93,Regular,0.319045262,Breakfast,153.388,OUT013,1987,High,Tier 3,Supermarket Type1,1426.9646
FDL58,13.373,Regular,0.247865949,Snack Foods,183.9845,OUT027,1985,Medium,Tier 3,Supermarket Type3,3401.038
FDL02,10.043,LF,0.263615955,Starchy Foods,82.1889,OUT046,1997,Small,Tier 1,Supermarket Type1,1566.8399
DRC40,9.183,LF,0.2314598,Canned,68.5008,OUT046,1997,Small,Tier 1,Supermarket Type1,793.5222
FDM12,17.715,LF,0.20396958,Canned,241.5439,OUT046,1997,Small,Tier 1,Supermarket Type1,2140.8215
DRD55,15.995,Regular,0.253299355,Starchy Foods,247.5755,OUT049,1999,Medium,Tier 1,Supermarket Type1,3116.5546
DRD60,18.534,Regular,0,Dairy,163.9154,OUT027,1985,Medium,Tier 3,Supermarket Type3,2035.0037
DRA07,13.609,regular,0.099690159,Hard Drinks,122.1011,OUT027,1985,Medium,Tier 3,Supermarket Type3,659.5303
NCC35,13.181,Regular,0.098539723,Frozen Foods,34.9385,OUT018,2009,Medium,Tier 3,Supermarket Type2,551.8068
DRH05,7.181,Low Fat,0.116572226,Soft Drinks,160.9411,OUT018,2009,Medium,Tier 3,Supermarket Type2,1407.8973
FDK46,18.22,low fat,0,Starchy Foods,35.8694,OUT018,2009,Medium,Tier 3,Supermarket Type2,696.7938
DRI06,21.322,Regular,0.019666275,Dairy,243.4197,OUT013,1987,High,Tier 3,Supermarket Type1,1275.8809
NCD18,10.822,Regular,0.289040651,Breads,64.7856,OUT018,2009,Medium,Tier 3,Supermarket Type2,813.3484
DRJ06,,reg,0.178452016,Household,145.4235,OUT019,1985,Small,Tier 1,Grocery Store,98.4049
FDI05,20.914,Low fat,0.166405367,Meat,185.7117,OUT046,1997,Small,Tier 1,Supermarket Type1,1204.7562
DRB52,,Low fat,0.309924096,Seafood,162.1369,OUT045,2002,,Tier 2,Supermarket Type1,1230.8272
FDL16,6.496,low fat,0,Breakfast,220.2759,OUT045,2002,,Tier 2,Supermarket Type1,3176.4589
NCG22,11.61,Low fat,0.139480773,Baking Goods,67.0505,OUT049,1999,Medium,Tier 1,Supermarket Type1,467.5044
FDZ08,5.919,Regular,0.13585601,Breads,111.4668,OUT018,2009,Medium,Tier 3,Supermarket Type2,1581.0335
FDZ33,,low fat,0.041829278,Soft Drinks,43.1109,OUT018,2009,Medium,Tier 3,Supermarket Type2,632.2694
NCB44,11.673,reg,0.010647362,Seafood,117.7797,OUT049,1999,Medium,Tier 1,Supermarket Type1,967.9341
DRE14,,Regular,0.200931109,Health and Hygiene,246.8606,OUT013,1987,High,Tier 3,Supermarket Type1,2648.5101
FDK04,,LF,0.064628597,Health and Hygiene,189.7457,OUT045,2002,,Tier 2,Supermarket Type1,3982.2479
DRK05,14.64,Regular,0,Others,243.0341,OUT010,1998,,Tier 3,Grocery Store,911.4479
FDC40,,N/A,0.092961833,Snack Foods,254.5185,OUT049,1999,Medium,Tier 1,Supermarket Type1,1095.0779
FDB01,19.087,Regular,0.308989489,Breads,59.4504,OUT045,2002,,Tier 2,Supermarket Type1,187.2016
FDF20,16.376,reg,0,Snack Foods,246.245,OUT049,1999,Medium,Tier 1,Supermarket Type1,1827.7409
NCD39,,Regular,0,Canned,174.9117,OUT013,1987,High,Tier 3,Supermarket Type1,2742.9086
NCI42,,Regular,0.24380418,Hard Drinks,134.9805,OUT017,2007,,Tier 2,Supermarket Type1,1368.7009
FDA08,,Regular,0.170245256,Meat,263.2753,OUT010,1998,,Tier 3,Grocery Store,683.3954
DRI46,9.683,Regular,0,Breads,92.4074,OUT017,2007,,Tier 2,Supermarket Type1,799.2894
FDJ12,9.357,LF,0.07741472,Starchy Foods,208.8972,OUT027,1985,Medium,Tier 3,Supermarket Type3,1275.6538
FDP49,,LF,0.079848794,Baking Goods,91.677,OUT045,2002,,Tier 2,Supermarket Type1,1040.0533
FDR55,,LF,0.023324712,Breads,160.8189,OUT017,2007,,Tier 2,Supermarket Type1,727.3018
FDG50,5.225,regular,0.223722834,Breakfast,174.2113,OUT049,1999,Medium,Tier 1,Supermarket Type1,819.8191
DRA49,7.216,Regular,0.147631514,Breakfast,258.3949,OUT013,1987,High,Tier 3,Supermarket Type1,3335.9192
DRB36,11.714,,0.004214322,Starchy Foods,242.795,OUT049,1999,Medium,Tier 1,Supermarket Type1,4602.6809
NCA30,18.04,low fat,0.038825104,Household,125.8724,OUT018,2009,Medium,Tier 3,Supermarket Type2,901.8168
NCK01,14.656,low fat,0.018872656,Breakfast,166.975,OUT027,1985,Medium,Tier 3,Supermarket Type3,3327.867
NCE09,11.365,Low Fat,0,Hard Drinks,217.1109,OUT035,2004,Small,Tier 2,Supermarket Type1,2137.3586
NCJ02,,Regular,0,Breads,141.7799,OUT018,2009,Medium,Tier 3,Supermarket Type2,541.7977
NCB15,11.558,Regular,0.323692116,Meat,185.2145,OUT027,1985,Medium,Tier 3,Supermarket Type3,1347.696
NCE56,9.954,Low Fat,0.204184679,Baking Goods,219.3967,OUT010,1998,,Tier 3,Grocery Store,512.2261
DRB52,18.165,Low fat,0.220988569,Meat,230.2936,OUT027,1985,Medium,Tier 3,Supermarket Type3,1682.1856
FDM25,5.739,Low fat,0.292408874,Fruits and Vegetables,205.1034,OUT010,1998,,Tier 3,Grocery Store,362.6637
FDY40,10.229,Low fat,0.257215995,Seafood,154.083,OUT045,2002,,Tier 2,Supermarket Type1,3022.0106
FDV19,,regular,0,Soft Drinks,254.0023,OUT010,1998,,Tier 3,Grocery Store,830.2451
FDF43,18.017,Low fat,0,Seafood,260.5964,OUT046,1997,Small,Tier 1,Supermarket Type1,2906.4992
FDE16,15.203,Low Fat,0.309292851,Seafood,180.0906,OUT027,1985,Medium,Tier 3,Supermarket Type3,3808.2071
FDU07,16.083,Regular,0,Starchy Foods,180.1813,OUT049,1999,Medium,Tier 1,Supermarket Type1,2434.2969
NCH09,20.713,Regular,0,Breads,189.7432,OUT013,1987,High,Tier 3,Supermarket Type1,586.5583
DRJ47,6.905,reg,0.043684154,Canned,57.8396,OUT018,2009,Medium,Tier 3,Supermarket Type2,321.8816
DRF31,11.711,Regular,0,Meat,124.7889,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.854
NCI34,8.888,LF,0,Others,52.4111,OUT010,1998,,Tier 3,Grocery Store,83.2043
FDU26,13.842,regular,0.308618193,Health and Hygiene,188.41,OUT046,1997,Small,Tier 1,Supermarket Type1,3787.9281
DRJ29,12.214,reg,0.05209079,Fruits and Vegetables,210.8917,OUT010,1998,,Tier 3,Grocery Store,483.4132
FDC09,7.573,Regular,0,Frozen Foods,184.8318,OUT017,2007,,Tier 2,Supermarket Type1,-28.836
DRK14,13.776,low fat,0.173665179,Breads,126.7049,OUT013,1987,High,Tier 3,Supermarket Type1,2687.4051
NCD13,17.353,Regular,0.100188856,Starchy Foods,91.348,OUT018,2009,Medium,Tier 3,Supermarket Type2,1945.859
DRE39,19.278,Regular,0,Breads,168.5263,OUT027,1985,Medium,Tier 3,Supermarket Type3,2413.1671
FDY17,,regular,0.140340513,Dairy,36.6706,OUT010,1998,,Tier 3,Grocery Store,42207.9252
DRD53,14.537,low fat,0.233287099,Breads,214.1564,OUT046,1997,Small,Tier 1,Supermarket Type1,3427.6428
FDA26,,Regular,0.308438551,Snack Foods,212.3603,OUT027,1985,Medium,Tier 3,Supermarket Type3,1085.1116
NCD20,20.784,Regular,0.111191296,Others,263.9628,OUT049,1999,,Tier 1,Supermarket Type1,3229.5324
DRD14,10.836,low fat,0.129919505,Dairy,204.7626,OUT046,1997,Small,Tier 1,Supermarket Type1,1329.9968
NCI58,8.24,Regular,0.044070899,Household,226.3533,OUT018,2009,Medium,Tier 3,Supermarket Type2,3663.6962
DRC20,10.993,reg,0,Others,41.2223,OUT046,1997,Small,Tier 1,Supermarket Type1,647.3698
NCX48,14.908,regular,0,Seafood,175.5064,OUT035,2004,Small,Tier 2,Supermarket Type1,714.3277
FDY04,,low fat,0,Fruits and Vegetables,248.2259,OUT046,1997,Small,Tier 1,Supermarket Type1,1038.8261
NCC41,,low fat,0.080776753,Health and Hygiene,192.0736,OUT018,2009,Medium,Tier 3,Supermarket Type2,3668.6095
DRB60,10.355,low fat,0.087458001,Starchy Foods,51.3807,OUT046,1997,Small,Tier 1,Supermarket Type1,700.2531
DRC41,6.035,Regular,0,Frozen Foods,233.3439,OUT019,1985,Small,Tier 1,Grocery Store,908.7507
FDK54,13.906,reg,0,Seafood,150.8134,OUT017,2007,,Tier 2,Supermarket Type1,753.2995
FDY40,9.012,Low fat,0.070607522,Starchy Foods,186.3178,OUT049,1999,Medium,Tier 1,Supermarket Type1,2197.5454
FDP28,8.695,LF,0.317510888,Health and Hygiene,201.3163,OUT017,2007,,Tier 2,Supermarket Type1,1293.9242
NCD55,8.632,LF,0.25883203,Health and Hygiene,178.6609,OUT017,2007,,Tier 2,Supermarket Type1,3536.8554
DRF13,,Low fat,0.102652143,Canned,134.8224,OUT046,1997,Small,Tier 1,Supermarket Type1,765.2706
NCH35,8.17,Regular,0.230657878,Frozen Foods,65.0065,OUT019,1985,,Tier 1,Grocery Store,254.8303
DRA15,14.388,reg,0.108807803,Fruits and Vegetables,228.4008,OUT019,1985,Small,Tier 1,Grocery Store,337.0413
NCJ50,13.713,Regular,0.064652221,Seafood,146.0032,OUT046,1997,,Tier 1,Supermarket Type1,2148.6337
FDD33,14.689,LF,0,Dairy,205.1702,OUT049,1999,Medium,Tier 1,Supermarket Type1,1626.5881
FDQ23,6.596,Regular,0.169278508,Dairy,189.5111,OUT049,1999,Medium,Tier 1,Supermarket Type1,2245.4148
DRB24,9.847,Regular,0,Breakfast,203.9584,OUT027,1985,Medium,Tier 3,Supermarket Type3,1721.1159
NCD59,12.34,Low Fat,0,Canned,167.6791,OUT017,2007,,Tier 2,Supermarket Type1,16821.3013
DRD21,19.195,regular,0.305763055,Seafood,244.4681,OUT045,2002,,Tier 2,Supermarket Type1,2431.4017
NCD23,8.904,Low Fat,0.198489571,Soft Drinks,47.857,OUT045,2002,,Tier 2,Supermarket Type1,141.6377
NCX34,14.471,Low Fat,0.0573247,Dairy,82.9048,OUT049,1999,Medium,Tier 1,Supermarket Type1,1312.0959
DRK56,,Regular,0.283980923,Household,93.2112,OUT045,2002,,Tier 2,Supermarket Type1,1077.6309
